dma_elec,cls_elec,ct,disp,int,mod_pauli,pol,index
-195.212606,-212.4068,-35.9898,-9.2239,-237.61130000000003,109.5126,-89.5034,93
-193.532954,-210.7132,-36.4233,-9.2149,-241.07890000000003,109.0161,-93.7436,94
-189.851822,-208.2062,-35.2335,-8.8816,-240.4646,101.5904,-89.7337,95
-187.621281,-201.7934,-33.0294,-8.7119,-237.195,96.3691,-90.0294,96
-193.904447,-214.8582,-37.6904,-9.4069,-237.9841,114.5344,-90.563,97
-204.100493,-225.0426,-43.0749,-10.1831,-246.238,132.9895,-100.9269,98
-211.139026,-235.9917,-47.1427,-10.9599,-238.88619999999997,155.3831,-100.175,99
-212.360296,-242.9841,-48.5967,-11.2121,-237.3154,163.7968,-98.3193,100
-205.515226,-226.0865,-43.6224,-10.3245,-244.6577,136.8602,-101.4845,101
-200.629529,-220.7253,-39.531,-9.7478,-240.83450000000002,122.5216,-93.352,102
-197.211693,-217.9934,-38.7918,-9.5754,-240.621,118.297,-92.5574,103
-186.061442,-200.9908,-34.0169,-8.7905,-240.0954,97.6592,-93.9564,104
-183.254564,-197.3265,-30.4338,-8.0958,-236.051,84.0574,-84.2523,105
-176.710526,-188.2656,-28.4226,-7.6525,-238.00730000000001,73.3547,-87.0213,106
-188.972329,-203.027,-32.6934,-8.5261,-240.6818,92.6514,-89.0867,107
-189.718943,-211.0802,-38.2125,-9.5226,-233.31849999999997,116.7249,-91.2281,108
-198.57883,-218.9072,-42.4615,-10.0683,-244.34799999999996,129.4781,-102.3891,109
-204.470782,-228.3725,-42.9176,-10.2595,-240.71550000000002,136.4508,-95.6167,110
-193.104951,-211.7922,-36.6011,-9.2864,-237.34199999999998,110.8083,-90.4706,111
-186.472058,-198.6562,-31.8446,-8.2589,-244.57240000000002,86.0819,-91.8946,112
-181.961303,-196.8702,-31.0573,-8.2361,-234.9248,86.6857,-85.4469,113
-185.25049,-197.2086,-30.748,-8.2618,-238.2043,86.2771,-88.263,114
-193.891376,-211.4753,-36.6223,-9.0278,-246.5246,104.0932,-93.4924,115
-194.417497,-211.4857,-36.4403,-9.2624,-239.0057,110.0786,-91.8959,116
-193.436272,-211.423,-36.3956,-9.2309,-239.0075,109.2863,-91.2443,117
-197.053437,-214.3609,-37.7325,-9.2692,-247.0505,109.6885,-95.3764,118
-200.389099,-219.1069,-39.3351,-9.7521,-239.90390000000002,122.3034,-94.0132,119
-204.74477,-229.5449,-43.5688,-10.3724,-239.60000000000002,139.4285,-95.5424,120
-197.15431,-215.5269,-39.6469,-9.6384,-245.12990000000002,118.2919,-98.6096,121
-192.194094,-209.0564,-34.956,-9.0084,-237.75039999999996,104.2562,-88.9858,122
-191.884413,-210.503,-35.725,-9.0758,-238.4885,106.0773,-89.262,123
-190.614837,-204.3457,-35.1449,-8.901,-244.5027,100.1846,-96.2957,124
-190.893461,-208.4844,-34.6205,-8.9349,-236.2482,103.0937,-87.3021,125
-186.883905,-201.7397,-32.8648,-8.4841,-240.84820000000002,91.6594,-89.419,126
-192.432354,-206.2008,-34.9759,-8.8667,-245.459,99.5507,-94.9663,127
-199.256585,-220.9222,-39.232,-9.777,-236.16159999999996,124.1451,-90.3755,128
-201.552628,-221.0383,-41.0687,-9.9474,-243.67179999999996,127.0175,-98.6349,129
-200.48997,-221.3702,-40.7509,-9.8584,-242.92220000000003,125.1255,-96.0682,130
-189.746306,-207.5423,-35.0424,-8.9875,-236.92520000000002,103.6419,-88.9949,131
-182.950866,-195.4872,-30.5626,-8.1398,-239.139,83.7599,-88.7093,132
-185.41686,-201.0122,-32.7467,-8.5167,-238.4661,92.2437,-88.4342,133
-189.885243,-208.0749,-37.0405,-9.2956,-238.78490000000002,110.1998,-94.5737,134
-211.1034,-237.1309,-47.5021,-10.9639,-241.0082,155.2885,-100.6998,135
-206.070316,-237.4785,-50.5956,-11.395,-233.9517,168.2124,-102.695,136
-196.500965,-212.424,-37.2149,-9.3173,-243.2275,110.7963,-95.0676,137
-177.038586,-190.6987,-30.1097,-8.0144,-235.5561,80.8875,-87.6208,138
-183.545803,-195.7558,-29.9154,-7.9504,-240.10070000000002,80.2909,-86.77,139
-186.132718,-202.6249,-33.9053,-8.7708,-238.53749999999997,97.3127,-90.5492,140
-201.167065,-221.475,-40.4555,-9.785,-244.48629999999997,123.1607,-95.9315,141
-197.62549,-220.3258,-41.6899,-10.0909,-238.28839999999997,130.3734,-96.5552,142
-186.622197,-202.1117,-34.0187,-8.7483,-239.4529,97.3888,-91.963,143
-183.413827,-196.2172,-30.2065,-7.9978,-239.43380000000002,81.4863,-86.4986,144
